Idx,SPR,priv_mtspr,priv_mfspr,len
1,XER,no,no,64
3,DSCR,no,no,64
8,LR,no,no,64
9,CTR,no,no,64
13,AMR,no,no,64
17,DSCR_priv,yes,yes,64
18,DSISR,yes,yes,32
19,DAR,yes,yes,64
22,DEC,yes,yes,64
26,SRR0,yes,yes,64
27,SRR1,yes,yes,64
28,CFAR,yes,yes,64
29,AMR_priv,yes,yes,64
48,PIDR,yes,yes,32
61,IAMR,yes,yes,64
128,TFHAR,no,no,64
129,TFIAR,no,no,64
130,TEXASR,no,no,64
131,TEXASRU,no,no,32
136,CTRL,-,no,32
144,TIDR,yes,yes,64
152,CTRL_priv,yes,-,32
153,FSCR,yes,yes,64
157,UAMOR,yes,yes,64
158,GSR,yes,-,0
159,PSPB,yes,yes,32
176,DPDES,hypv,yes,64
180,DAWR0,hypv,hypv,64
186,RPR,hypv,hypv,64
187,CIABR,hypv,hypv,64
188,DAWRX0,hypv,hypv,32
190,HFSCR,hypv,hypv,64
256,VRSAVE,no,no,32
259,SPRG3,-,no,64
268,TB,-,no,64
269,TBU,-,no,32
272,SPRG0_priv,yes,yes,64
273,SPRG1_priv,yes,yes,64
274,SPRG2_priv,yes,yes,64
275,SPRG3_priv,yes,yes,64
283,CIR,-,yes,32
284,TBL,hypv,-,32
285,TBU_hypv,hypv,-,32
286,TBU40,hypv,-,64
287,PVR,-,yes,32
304,HSPRG0,hypv,hypv,64
305,HSPRG1,hypv,hypv,64
306,HDSISR,hypv,hypv,32
307,HDAR,hypv,hypv,64
308,SPURR,hypv,yes,64
309,PURR,hypv,yes,64
310,HDEC,hypv,hypv,64
313,HRMOR,hypv,hypv,64
314,HSRR0,hypv,hypv,64
315,HSRR1,hypv,hypv,64
318,LPCR,hypv,hypv,64
319,LPIDR,hypv,hypv,32
336,HMER,hypv,hypv,64
337,HMEER,hypv,hypv,64
338,PCR,hypv,hypv,64
339,HEIR,hypv,hypv,32
349,AMOR,hypv,hypv,64
446,TIR,-,yes,64
464,PTCR,hypv,hypv,64
704,SVSTATE,no,no,32
720,PRTBL,yes,yes,64
721,SVSRR0,yes,yes,32
768,SIER,-,no,64
769,MMCR2,no,no,64
770,MMCRA,no,no,64
771,PMC1,no,no,32
772,PMC2,no,no,32
773,PMC3,no,no,32
774,PMC4,no,no,32
775,PMC5,no,no,32
776,PMC6,no,no,32
779,MMCR0,no,no,64
780,SIAR,-,no,64
781,SDAR,-,no,64
782,MMCR1,-,no,64
784,SIER_priv,yes,yes,64
785,MMCR2_priv,yes,yes,64
786,MMCRA_priv,yes,yes,64
787,PMC1_priv,yes,yes,32
788,PMC2_priv,yes,yes,32
789,PMC3_priv,yes,yes,32
790,PMC4_priv,yes,yes,32
791,PMC5_priv,yes,yes,32
792,PMC6_priv,yes,yes,32
795,MMCR0_priv,yes,yes,64
796,SIAR_priv,yes,yes,64
797,SDAR_priv,yes,yes,64
798,MMCR1_priv,yes,yes,64
800,BESCRS,no,no,64
801,BESCRSU,no,no,32
802,BESCRR,no,no,64
803,BESCRRU,no,no,32
804,EBBHR,no,no,64
805,EBBRR,no,no,64
806,BESCR,no,no,64
808,reserved808,no,no,0
809,reserved809,no,no,0
810,reserved810,no,no,0
811,reserved811,no,no,0
815,TAR,no,no,64
816,ASDR,hypv,hypv,64
823,PSSCR,yes,yes,64
848,IC,hypv,yes,64
849,VTB,hypv,yes,64
855,PSSCR_hypv,hypv,hypv,64
896,PPR,no,no,64
898,PPR32,no,no,32
1023,PIR,-,yes,32
