x,y,z
357,1515,203
242,577,170
993,1418,114
535,738,103
319,1639,200
715,1528,247
2178,2096,198
212,1541,194
1330,2007,113
255,2522,182
1993,1094,152
1013,1890,211
1889,2184,147
433,2075,160
1597,2343,184
2233,2548,189
410,1743,204
1693,2055,172
1526,2352,190
1126,1187,93
1256,1413,103
2536,625,76
325,662,178
2352,355,60
2183,127,120
1824,1268,183
1751,2414,191
1212,122,34
636,2474,173
2061,415,32
1627,1813,188
1604,2237,176
968,1724,142
114,2183,183
878,304,70
1046,2174,197
2273,630,63
14,1955,184
883,1785,193
1518,2464,183
2394,899,57
1992,1848,167
101,1274,181
248,691,180
1685,1778,190
84,2564,190
2175,1684,121
594,2066,180
1098,105,27
1544,250,150
227,1052,135
800,1784,159
1574,2376,189
585,961,119
1428,1546,162
1732,2521,181
2215,2192,163
452,2361,202
203,964,149
1967,602,48
2091,133,101
1404,1481,132
25,849,180
2219,76,99
2556,16,70
1754,644,68
2417,2451,181
1371,1814,168
920,2085,202
246,2088,205
135,2034,193
1900,1302,191
2580,1137,96
1888,713,55
1734,1176,180
282,181,89
828,540,48
1427,961,94
863,2230,207
1657,615,144
2363,2430,184
2489,547,74
2067,237,101
775,2596,226
1997,1664,163
1877,31,86
484,1425,199
115,2339,181
2149,373,41
621,920,124
2235,594,74
2323,1179,95
360,2156,190
996,1560,117
2004,1416,144
1631,1364,184
1121,1936,203
2283,1382,103
89,696,171
1645,2607,163
2065,1368,128
2325,822,67
656,199,71
338,769,186
1173,1683,194
962,2408,193
261,2659,186
1307,2388,194
865,1268,134
1404,949,105
1033,2045,206
2195,1652,83
1850,493,107
972,1268,112
1152,441,60
2511,2373,159
764,2135,159
2375,2184,165
1214,2487,205
2309,86,78
2433,826,58
1586,1801,196
2584,2456,169
2571,2223,128
2399,925,57
2180,1036,74
613,334,87
992,664,74
1046,1545,125
662,434,64
435,1140,142
1243,2594,185
2610,998,106
2292,113,60
320,1990,193
2328,2635,180
835,380,59
740,634,53
178,1751,202
191,1054,138
2443,607,74
1481,2406,190
210,1324,155
2324,1131,86
1731,1727,194
2533,1464,126
1313,1002,75
702,2453,196
1842,1586,176
1759,2112,190
1481,2429,212
561,256,80
5,1265,169
1511,1182,179
2087,205,105
19,180,99
1783,2411,189
585,2581,182
281,579,172
1319,1506,90
15,516,159
2608,2043,160
2042,457,31
1321,917,175
680,2246,164
1609,555,158
2187,878,59
2580,1187,165
1174,1622,196
2016,1254,168
2325,1367,106
1287,2517,146
691,823,57
2383,1485,118
2521,1871,149
1328,1234,73
206,704,175
302,763,183
271,1736,194
1482,1383,146
1737,2020,204
1777,1391,196
696,714,54
167,967,146
181,1456,200
952,762,63
246,2379,194
2398,2068,155
394,730,178
1988,326,61
1956,155,113
2270,2028,128
2598,1867,170
987,1215,83
1745,1881,193
1085,2022,200
677,923,132
524,2356,182
983,2318,187
2250,562,59
2182,616,42
4,1265,168
1425,1822,192
1450,1759,193
435,2306,217
891,85,52
1109,2309,145
2252,909,76
1173,1790,209
1693,2133,145
890,2113,201
125,936,144
501,1744,205
2527,1805,141
2373,88,50
685,2021,202
2502,757,82
2225,990,62
2481,1143,106
2428,75,61
383,1160,145
1550,2119,185
1446,494,135
2180,1182,89
100,1644,196
2565,762,79
65,747,176
2002,683,45
1222,2154,148
2451,881,49
596,1030,125
1974,212,109
2242,832,62
1428,285,144
728,2037,142
1857,2077,137
1187,1979,72
4,1316,192
458,376,101
2201,1602,74
1180,322,31
2551,2349,165
87,1520,196
876,1024,95
254,2196,188
783,2618,172
798,2583,177
1332,147,30
806,749,100
523,1805,207
1346,1261,106
1125,444,47
2237,351,61
1571,68,185
2353,250,49
1158,2027,108
2258,2544,191
2468,684,78
676,2071,170
1090,564,48
490,1276,151
578,325,90
1426,623,82
1262,1375,116
80,2642,194
926,2626,177
1790,1247,182
2165,1210,81
1199,947,153
112,2350,180
994,1513,121
1326,65,54
722,929,124
2135,1759,129
559,1400,201
562,2110,180
1842,780,61
985,1487,101
1412,1302,117
969,2125,175
1196,2009,74
705,1396,200
1512,625,152
41,2277,190
1798,1882,198
1274,574,73
1911,243,135
1031,2515,197
587,1350,174
873,470,53
2198,1755,123
21,2477,160
823,636,60
1475,2297,191
1787,854,74
1427,2061,186
1618,603,163
683,2447,194
466,1377,210
2133,674,52
